sourceName,double,speed,length,Asym
1,0.286,2.169828203,20.86614173,0.01
1,0.328,3.086972083,29.13385827,0
1,0.312,1.744810308,18.8976378,0
1,0.287,2.214566929,23.62204724,0
1,0.245,3.042233357,29.52755906,0
1,0.264,4.026485326,33.85826772,0
1,0.223,3.534359341,30.70866142,0
1,0.293,4.451503221,36.61417323,0.08
1,0.285,2.840909091,29.13385827,0.04
1,0.321,3.042233357,29.13385827,0
1,0.32,2.214566929,23.62204724,0
1,0.292,2.125089477,23.62204724,0
1,0.277,2.930386543,28.34645669,0
1,0.317,3.265926986,29.52755906,0
1,0.257,2.057981389,24.40944882,0
1,0.313,3.467251253,29.92125984,0
1,0.312,2.281675018,22.83464567,0
1,0.305,2.326413744,26.37795276,0
1,0.313,2.460629921,25.59055118,0
1,0.309,2.259305655,24.40944882,0
1,0.292,2.348783107,24.80314961,0
1,0.266,2.952755906,28.34645669,0
1,0.271,3.623836793,32.67716535,0
1,0.285,3.489620616,31.49606299,0
1,0.285,3.109341446,30.31496063,0.01
1,0.287,3.198818898,30.31496063,0
1,0.312,3.131710809,30.31496063,0
1,0.279,2.594846099,24.80314961,0.03
1,0.315,3.333035075,31.1023622,0
1,0.283,2.639584825,26.77165354,0
1,0.27,3.243557623,30.31496063,0
1,0.302,3.556728704,32.28346457,0.01
1,0.272,2.90801718,27.95275591,0
1,0.271,3.489620616,31.88976378,0
1,0.274,3.467251253,31.49606299,0
1,0.298,3.377773801,30.70866142,0
1,0.319,2.68432355,24.40944882,0
1,0.311,2.169828203,22.04724409,0
1,0.271,2.572476736,24.80314961,0
1,0.266,3.44488189,31.1023622,0
1,0.306,3.623836793,31.88976378,0.09
1,0.289,2.52773801,25.59055118,0.02
1,0.269,2.930386543,27.95275591,0
1,0.271,3.511989979,31.1023622,0
1,0.259,3.467251253,31.1023622,0
1,0.298,3.713314245,32.28346457,0
1,0.301,2.639584825,22.83464567,0
1,0.262,2.505368647,22.04724409,0
1,0.264,3.713314245,32.67716535,0
1,0.257,3.668575519,32.67716535,0
1,0.259,3.847530422,33.85826772,0
1,0.252,3.758052971,33.46456693,0
1,0.264,3.937007874,34.2519685,0
1,0.256,3.646206156,33.07086614,0
1,0.266,3.847530422,33.85826772,0
1,0.249,3.623836793,32.28346457,0
1,0.306,3.959377237,34.2519685,0.09
1,0.311,2.550107373,26.37795276,0
1,0.274,2.236936292,25.98425197,0
1,0.274,3.400143164,31.1023622,0
1,0.28,3.400143164,30.70866142,0
1,0.268,3.288296349,29.52755906,0
1,0.287,3.556728704,32.28346457,0
1,0.276,3.086972083,27.16535433,0
1,0.264,3.377773801,30.70866142,0
1,0.28,3.668575519,33.85826772,0
1,0.298,3.042233357,27.95275591,0
1,0.284,2.706692913,26.77165354,0
